"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","qtrly_estabs","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_chg","oty_qtrly_estabs_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"US000","0","10","10","0","2024","4","",12265395,156042582,156584838,156202874,3062610422413,235192626338,3772798033,1507,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",255970,2.1,1403464,0.9,1506822,1.0,1188409,0.8,172786339251,6.0,2947344177,1.3,24769525,0.7,72,5.0
"US000","1","10","11","0","2024","4","",61112,3013937,3014824,3023720,74808682216,0,0,1907,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",-565,-0.9,49617,1.7,45612,1.5,47793,1.6,1145397228,1.6,0,0.0,0,0.0,-1,-0.1
"US000","1","101","12","0","2024","4","",167,53917,53419,52764,1284888677,0,0,1852,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",15,9.9,652,1.2,633,1.2,480,0.9,34923906,2.8,0,0.0,0,0.0,30,1.6
"US000","1","1011","13","0","2024","4","",75,4213,3684,3367,79253567,0,0,1624,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",0,0.0,81,2.0,6,0.2,32,1.0,-9816424,-11.0,0,0.0,0,0.0,-220,-11.9
"US000","1","1012","13","0","2024","4","",4,25,24,24,1247054,0,0,3942,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",3,300.0,20,400.0,19,380.0,20,500.0,1019225,447.4,0,0.0,0,0.0,187,5.0
"US000","1","1013","13","0","2024","4","",88,49679,49711,49373,1204388056,0,0,1868,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",12,15.8,551,1.1,608,1.2,428,0.9,43721105,3.8,0,0.0,0,0.0,48,2.6
"US000","1","102","12","0","2024","4","",60945,2960020,2961405,2970956,73523793539,0,0,1908,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",-580,-0.9,48965,1.7,44979,1.5,47313,1.6,1110473322,1.5,0,0.0,0,0.0,-2,-0.1
"US000","1","1021","13","0","2024","4","",30754,667344,667904,670647,11692939578,0,0,1345,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",-37,-0.1,-3150,-0.5,-4396,-0.7,-8139,-1.2,117921349,1.0,0,0.0,0,0.0,24,1.8
"US000","1","1022","13","0","2024","4","",152,6693,6685,6677,161659222,0,0,1860,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",6,4.1,48,0.7,-4,-0.1,-1,0.0,-8058799,-4.7,0,0.0,0,0.0,-97,-5.0
"US000","1","1023","13","0","2024","4","",829,13539,13695,13673,472456809,0,0,2665,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",11,1.3,713,5.6,844,6.6,921,7.2,-5572381,-1.2,0,0.0,0,0.0,-206,-7.2
